instance,solver,run,nvertices,nedges,n,m,state,value,totalTime,totalIters,bestTime,bestIter
r_n150_p0.5_nA15_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,5608,15,30,FEASIBLE,3,19.7252,15000,0.0196558,16
r_n100_p0.75_nA10_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,3709,10,10,FEASIBLE,3,3.08795,10000,0.00701644,16
r_n150_p0.5_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,5621,30,30,FEASIBLE,6,21.9289,15000,0.0512548,27
r_n150_p0.5_nA30_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,5583,30,15,FEASIBLE,6,16.6783,15000,1.53571,1477
r_n150_p0.75_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,8343,30,30,FEASIBLE,9,27.9463,15000,0.0205948,10
r_n150_p0.5_nA15_nB15_i1,heur_semigreedy2s_v2_a0.2,0,150,5585,15,15,FEASIBLE,3,13.113,15000,0.0563453,60
r_n150_p0.75_nA15_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,8401,15,30,FEASIBLE,4,17.3505,15000,0.2394,207
r_n150_p0.25_nA30_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,2801,30,15,FEASIBLE,3,8.60342,15000,3.0144,5323
r_n100_p0.75_nA10_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,3749,10,20,FEASIBLE,3,3.93087,10000,0.00644537,13
r_n150_p0.75_nA30_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,8469,30,15,FEASIBLE,15,3.88297,15000,0.119811,425
r_n100_p0.5_nA10_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,2514,10,10,FEASIBLE,2,2.75868,10000,0.015152,45
r_n100_p0.25_nA10_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,1244,10,10,FEASIBLE,1,1.87832,10000,0.0567958,279
r_n100_p0.25_nA10_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,1239,10,20,FEASIBLE,1,2.07637,10000,0.0556069,236
r_n100_p0.5_nA20_nB10_i0,heur_semigreedy2s_v2_a0.2,0,100,2477,20,10,FEASIBLE,5,2.72322,10000,0.0105846,38
r_n150_p0.25_nA30_nB30_i2,heur_semigreedy2s_v2_a0.2,0,150,2831,30,30,FEASIBLE,3,12.7161,15000,3.63824,4320
r_n100_p0.5_nA10_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,2527,10,20,FEASIBLE,2,4.12909,10000,0.0276383,62
r_n100_p0.5_nA20_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,2512,20,20,FEASIBLE,4,4.25627,10000,0.0138969,24
r_n150_p0.5_nA30_nB30_i1,heur_semigreedy2s_v2_a0.2,0,150,5527,30,30,FEASIBLE,6,20.7096,15000,0.0495054,33
r_n100_p0.25_nA20_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,1220,20,10,FEASIBLE,3,2.33416,10000,0.000663418,1
r_n100_p0.75_nA10_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,3700,10,10,FEASIBLE,3,3.03559,10000,0.00368054,8
r_n100_p0.25_nA20_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,1211,20,10,FEASIBLE,2,2.34812,10000,1.17521,5047
r_n100_p0.5_nA10_nB20_i2,heur_semigreedy2s_v2_a0.2,0,100,2502,10,20,FEASIBLE,2,3.56778,10000,0.00176396,2
r_n150_p0.25_nA15_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,2838,15,15,FEASIBLE,2,7.15163,15000,0.00248596,3
r_n150_p0.75_nA30_nB15_i2,heur_semigreedy2s_v2_a0.2,0,150,8302,30,15,FEASIBLE,11,11.7172,15000,2.09195,2692
r_n100_p0.75_nA20_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,3688,20,10,FEASIBLE,7,2.93484,10000,0.0751177,218
r_n100_p0.5_nA10_nB10_i2,heur_semigreedy2s_v2_a0.2,0,100,2530,10,10,FEASIBLE,3,2.68007,10000,0.000648252,0
r_n100_p0.5_nA20_nB20_i0,heur_semigreedy2s_v2_a0.2,0,100,2427,20,20,FEASIBLE,4,4.20925,10000,0.00351769,7
r_n100_p0.75_nA20_nB20_i1,heur_semigreedy2s_v2_a0.2,0,100,3719,20,20,FEASIBLE,6,5.00696,10000,0.0501864,75
r_n150_p0.5_nA30_nB30_i0,heur_semigreedy2s_v2_a0.2,0,150,5622,30,30,FEASIBLE,6,22.3365,15000,0.0181349,12
r_n150_p0.25_nA30_nB15_i0,heur_semigreedy2s_v2_a0.2,0,150,2744,30,15,FEASIBLE,4,8.62725,15000,0.0700353,107
r_n100_p0.5_nA20_nB10_i1,heur_semigreedy2s_v2_a0.2,0,100,2493,20,10,FEASIBLE,5,3.26368,10000,0.0168219,43
