instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ntrivialNodes,nintNodes,nfracNodes,ngcpNodes,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n130_p0.75_nA26_nB26_i4,byp_,0,130,6328,26,26,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,59,29,6.20997,8.0,0.223754,0.0,0,0,0,0.0,1,1,0,0,0,0,0,58,0,5.68444,71.0,3.1126e-319,0.0,4436,0,4400,16,17,3,202,0,166,33,1,2,13.3722,3.223e-06,0.372995,0.0698909,0.1253,12.8041,5e-324,0,0.0,8858,3020,5682,53,53,48,93,25,11,8,0,47,122.669,0.000409337,0.457347,0.559787,0.117631,121.534
r_n120_p0.5_nA12_nB12_i0,byp_,0,120,3523,12,12,-1,-1,OPTIMAL,optimality proven,18.4085,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.42045,11.0,2.9644e-319,0.0,4015,0,4000,11,0,4,162,0,148,11,0,3,6.53713,1.898e-06,0.273707,0.0664187,0.0,6.19701,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA12_nB24_i0,byp_,0,120,3523,12,24,-1,-1,OPTIMAL,optimality proven,14.0671,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.42105,13.0,2.9644e-319,0.0,1703,0,1700,2,0,1,121,0,117,4,0,0,0.977551,1.1e-06,0.115656,0.0137503,0.0,0.848144,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB11_i1,byp_,0,110,1488,22,11,-1,-1,OPTIMAL,optimality proven,71.1842,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.61985,10.0,2.69266e-319,0.0,11404,0,11300,56,0,48,355,0,300,8,0,47,61.1279,6.716e-06,0.63591,0.259258,0.0,60.2327,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n130_p0.75_nA13_nB13_i3,byp_,0,130,6255,13,13,-1,-1,OPTIMAL,optimality proven,68.7738,1,0,3.0,3.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,2.48526,58.0,3.21143e-319,0.0,2516,0,2500,5,8,3,124,0,114,5,3,2,10.3111,1.56e-06,0.196078,0.0458979,0.104251,9.96489,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA12_nB12_i3,byp_,0,120,3566,12,12,-1,-1,OPTIMAL,optimality proven,22.1962,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.45714,11.0,2.9644e-319,0.0,2916,0,2900,11,0,5,131,0,120,7,0,4,10.4928,1.587e-06,0.207334,0.0837705,0.0,10.2017,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA22_nB11_i0,byp_,0,110,1448,22,11,-1,-1,FEASIBLE,time limit with feasible solution,7200.0,35,17,2.0,3.0,0.333333,0.0,0,0,0,0.0,1,1,0,0,0,0,0,34,0,1.70827,9.0,2.61855e-319,0.0,10684,0,10600,42,0,42,345,0,304,0,0,41,34.6203,6.344e-06,0.57361,0.116192,0.0,33.9305,5e-324,0,0.0,65472,32540,32308,312,0,311,388,35,41,0,0,310,210.294,0.0113198,1.68073,1.01516,0.0,207.587
r_n130_p0.75_nA13_nB26_i1,byp_,0,130,6245,13,26,-1,-1,OPTIMAL,optimality proven,342.793,173,0,3.0,3.0,0.0,0.0,0,0,0,0.0,2,1,1,0,0,0,1,172,0,2.4902,72.0,3.21143e-319,0.0,1404,0,1400,1,2,1,97,0,96,0,1,0,3.01294,7.8e-07,0.110291,0.0153024,0.0253637,2.86198,5e-324,0,0.0,750,224,520,1,2,0,25,10,13,1,0,0,1.54815,4.02763e-05,0.0348576,0.0101935,0.0204294,1.48263
r_n110_p0.25_nA22_nB22_i1,byp_,0,110,1490,22,22,-1,-1,OPTIMAL,optimality proven,69.0805,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.50984,11.0,2.71736e-319,0.0,9375,0,9300,52,0,23,296,0,234,40,0,22,57.8706,7.829e-06,0.538139,0.841125,0.0,56.4913,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n120_p0.5_nA12_nB24_i2,byp_,0,120,3536,12,24,-1,-1,OPTIMAL,optimality proven,14.13,1,0,2.0,2.0,0.0,0.0,0,0,0,0.0,1,1,0,0,0,0,0,1,0,1.45714,12.0,2.9644e-319,0.0,2205,0,2200,4,0,1,131,0,127,4,0,0,1.46109,1.161e-06,0.148557,0.0263265,0.0,1.28621,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
